timestamp,amount,price,side,id
1768978079897,0.00024757,79816010.26,buy,9167808
1768977425628,0.00006327,79026860.71,sell,9167807
1768976277163,0.00072976,80138720.97,buy,9167806
1768976277163,0.00001906,79628000.0,buy,9167805
1768973960452,0.0438,79628000.0,buy,9167804
1768973551202,0.00006204,79628000.0,buy,9167803
1768973550613,0.00006204,79628000.0,buy,9167802
1768973536911,0.00062038,79628000.0,buy,9167801
1768973536528,0.00031019,79628000.0,buy,9167800
1768973536092,0.00023921,79628000.0,buy,9167799
1768973536092,0.000071,79627800.0,buy,9167798
1768973481781,0.00012408,79627800.0,buy,9167797
1768973225084,0.0000286,79627800.0,buy,9167796
1768971828853,0.00027717,79374881.6,sell,9167795
1768969951754,0.00372232,79627790.0,buy,9167794
1768968859200,0.00005722,79627790.0,buy,9167793
1768968087673,0.00012408,79627780.0,buy,9167792
1768967909601,0.00012408,79627790.0,buy,9167791
1768967084953,0.00024815,79627800.0,buy,9167790
1768966314743,0.00024816,79627790.0,buy,9167789
1768966206135,0.00000047,79627800.0,buy,9167788
1768966199859,0.00002512,79627790.0,buy,9167787
1768966080782,0.00620552,79615938.0,buy,9167786
1768965969149,0.0000286,79620608.0,buy,9167785
1768965772807,0.00002,79609078.0,buy,9167784
1768965772553,0.00002,79609078.0,buy,9167783
1768965595182,0.0000992,78844320.41,sell,9167782
1768965127123,0.00187803,79626458.0,buy,9167781
1768964829323,0.00024821,79608807.0,buy,9167780
1768964695130,0.0001,79610271.99,buy,9167779
1768964460688,0.0001241,79612411.0,buy,9167778
1768964269798,0.00153665,79410662.0,buy,9167777
1768964269798,0.00475987,79408359.09,buy,9167776
1768963628622,0.00012429,79487315.8,buy,9167775
1768963442920,0.00006219,79434631.0,buy,9167774
1768962622659,0.00155243,79552366.0,buy,9167773
1768962363555,0.00062039,79627781.0,buy,9167772
1768962255104,0.00102308,79627790.0,buy,9167771
1768961833346,0.00006204,79627785.0,buy,9167770
1768961708230,0.00012732,79194303.16,sell,9167769
1768961706699,0.00090708,79194303.16,sell,9167768
1768961380014,0.00125817,79480300.99,buy,9167767
1768961316253,0.00009462,78460746.0,sell,9167766
1768961223890,0.00006216,79473324.99,buy,9167765
1768960945266,0.00118072,78655207.93,sell,9167764
1768960537431,0.00111628,79631979.13,buy,9167763
1768960093481,0.00124417,79410529.0,buy,9167762
1768959755380,0.00006013,78707465.0,sell,9167761
1768959705020,0.00030711,79667131.0,buy,9167760
1768959648274,0.00379251,78518882.98,sell,9167759
